H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	6	-6	73.00	1.2961	2	0.2
2	6	2	73.19	1.2932	2	0.1
2	-6	2	73.19	1.2932	2	0.1
4	0	-3	73.44	1.2894	2	0.3
2	-6	-3	73.52	1.2881	2	0.4
2	6	-3	73.52	1.2881	2	0.4
2	4	-8	73.72	1.2852	2	0.2
2	-4	-8	73.72	1.2852	2	0.2
2	2	9	73.82	1.2836	2	0.1
2	-2	9	73.82	1.2836	2	0.1
3	-1	7	73.93	1.2819	2	0.1
3	1	7	73.93	1.2819	2	0.1
4	0	2	74.43	1.2746	2	0.8
0	2	11	74.44	1.2745	2	0.1
1	7	0	74.50	1.2736	2	0.1
1	-7	0	74.50	1.2736	2	0.1
1	5	-8	74.60	1.2721	2	0.1
1	-5	-8	74.60	1.2721	2	0.1
1	-7	-1	74.70	1.2707	2	0.1
1	7	-1	74.70	1.2707	2	0.1
3	-5	-1	74.91	1.2676	2	0.1
3	5	-1	74.91	1.2676	2	0.1
1	-7	1	74.97	1.2668	2	0.1
1	7	1	74.97	1.2668	2	0.1
3	5	0	74.97	1.2667	2	0.1
3	-5	0	74.97	1.2667	2	0.1
3	3	-7	75.07	1.2654	2	0.1
3	-3	-7	75.07	1.2654	2	0.1
2	6	3	75.11	1.2647	2	0.2
2	-6	3	75.11	1.2647	2	0.2
4	2	-1	75.19	1.2636	2	0.0
4	-2	-1	75.19	1.2636	2	0.0
4	0	-4	75.23	1.2630	2	0.1
4	-2	0	75.39	1.2608	2	0.0
4	2	0	75.39	1.2608	2	0.0
3	5	-2	75.51	1.2591	2	0.0
3	-5	-2	75.51	1.2591	2	0.0
1	-3	10	75.54	1.2586	2	0.1
1	3	10	75.54	1.2586	2	0.1
1	-7	-2	75.56	1.2583	2	0.0
1	7	-2	75.56	1.2583	2	0.0
2	6	-4	75.58	1.2580	2	0.0
2	-6	-4	75.58	1.2580	2	0.0
4	-2	-2	75.65	1.2570	2	0.0
